sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,interesting,acuity_direction,same_day_to_ed,interesting_acuity,delta,from_short,to_short,interesting_diag
2527,2,format_tone|remove_all,1,1,0,0,,1,,1,,-2,Same-day,ED,0
2536,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2537,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2542,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
2546,3,format_tone|content_format|remove_all,1,1,1,1,,1,,1,,-2,Same-day,ED,0
2565,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
2611,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
2630,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,,1,,1,,-2,Same-day,ED,0
2634,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2646,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2658,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
2673,2,content_format|ct_new,0,0,0,0,high_to_low,1,down,1,1,,,,
2679,3,remove_all|ct_old|ct_new,0,0,0,1,low_to_high,0,down,0,1,,,,
